Deposit Name,Location,Age of Deposit,Ore Genesis,Remote Sensing Data & Results,Geophysical Data,Type of Deposit,Main/By-Product/Co-Product,Mineralogy,Pathfinder Elements,Geometry of Ore Body,Ore Body Characterization,Host Rocks,Tectonic Settings,Stratigraphy,Control of Mineralization,Geochemical Results,Geological Features,Mineral
Xikuangshan,China,Devonian-Permian (360-250 Ma),Hydrothermal,ASTER/Landsat mapped limestone sequence; multispectral detected alteration zones,IP surveys mapped sulfide bodies; magnetic data detected structures,Stratabound/vein,Main: Sb,"Stibnite, pyrite, arsenopyrite","As, Au, Hg, Tl","Stratiform, vein swarms","530,000 t Sb at 4.0% Sb","Limestone, silty limestone",Yangtze Platform,Upper Devonian-Lower Permian carbonates,Fault control; limestone replacement,Sb: 3.5-4.5%; As: 0.1-0.2%; Au: 0.1-0.5 g/t,World's largest antimony deposit; multi-stage ores,Antimony
Twinkling Star,South Africa,Archean (3.1 Ga),Hydrothermal,ASTER/Landsat mapped schist belt; multispectral detected alteration zones,IP surveys mapped sulfide zones; magnetic data detected structures,Mesothermal vein,Main: Sb; Co-product: Au,"Stibnite, berthierite, pyrite, arsenopyrite","As, Au, Ag, Hg","Vein swarms, lens-shaped","85,000 t Sb at 2.5% Sb","Schist, metavolcanics",Murchison Greenstone Belt,Antimony Line,Structural control; shear zones,Sb: 2.0-3.0%; Au: 1-3 g/t; As: 0.2-0.5%,Greenstone-hosted deposits; multiple mines,Antimony
Hillgrove,Australia,Permian-Triassic (250-260 Ma),Hydrothermal,ASTER/Landsat mapped alteration zones; multispectral detected vein systems,IP surveys mapped sulfide bodies; magnetic data detected structures,Mesothermal vein,"Main: Au, Sb; Co-product: W","Stibnite, arsenopyrite, scheelite, gold","Au, As, W",Multiple veins along 16 km trend,"31,500 t Sb at 1.5% Sb","Metasediments, granodiorite",New England Fold Belt,Hillgrove Suite,Structural control; fault-related,Sb: 1.0-2.0%; Au: 2-5 g/t; W: 0.1-0.2%,Au-Sb-W deposit; complex fault system,Antimony
La Lucette,France,Carboniferous (320-350 Ma),Hydrothermal,ASTER/Landsat mapped vein systems,IP surveys mapped sulfide bodies; magnetic data detected structures,Mesothermal vein,"Main: Sb, Au","Stibnite, pyrite, arsenopyrite, gold","Au, As, Hg",Multiple veins,Historic producer,"Schist, metasediments",Armorican Massif,Brioverian schists,Structural control; fault-related,Sb: 3.0-5.0%; Au: 5-15 g/t; As: 0.5-1.0%,Historic high-grade Sb producer; now exhausted,Antimony
Bau,Malaysia,Miocene-Pliocene (5-20 Ma),Hydrothermal,ASTER/Landsat mapped limestone sequence; multispectral detected alteration zones,IP surveys mapped sulfide bodies; gravity data detected intrusions,Carlin-like,Main: Au; By-product: Sb,"Stibnite, arsenopyrite, pyrite, gold","Au, As, Hg, Tl","Stratiform, replacement","70,000 t Sb at 1.0% Sb","Limestone, calcareous sandstone",Borneo,Upper Jurassic-Cretaceous carbonates,Fault control; limestone replacement,Sb: 0.8-1.2%; Au: 2-5 g/t; As: 0.5-1.0%,Carlin-like gold-antimony deposit,Antimony
Kadamjaï,Kyrgyzstan,Paleogene-Neogene (20-40 Ma),Hydrothermal,ASTER/Landsat mapped limestone sequence; multispectral detected alteration zones,IP surveys mapped sulfide bodies; magnetic data detected structures,Stratabound/vein,"Main: Sb, Hg","Stibnite, cinnabar, realgar, orpiment","Hg, As, Au, Tl","Stratiform, veins","100,000 t Sb at 3.5% Sb","Limestone, sandstone",Tien Shan,Paleogene-Neogene sediments,Fault control; limestone replacement,Sb: 3.0-4.0%; Hg: 0.1-0.3%; As: 0.5-1.0%,Major Sb-Hg district; epithermal characteristics,Antimony
Murchison,South Africa,Archean (3.1 Ga),Hydrothermal,ASTER/Landsat mapped schist belt; multispectral detected alteration zones,IP surveys mapped sulfide zones; magnetic data detected structures,Mesothermal vein,Main: Sb; Co-product: Au,"Stibnite, berthierite, pyrite, arsenopyrite","As, Au, Ag, Hg","Vein swarms, lens-shaped",Part of Antimony Line,"Schist, metavolcanics",Murchison Greenstone Belt,Antimony Line,Structural control; shear zones,Sb: 2.0-3.0%; Au: 1-3 g/t; As: 0.2-0.5%,Part of Twinkling Star district,Antimony
Endeavor,Australia,Silurian-Devonian (400-430 Ma),Hydrothermal,ASTER/Landsat mapped alteration zones,IP and EM surveys mapped sulfide bodies,VHMS/epithermal,"Main: Zn, Pb, Ag; By-product: Sb","Stibnite, tetrahedrite, galena, sphalerite","Ag, Pb, Zn, Cu, As","Lens-shaped, stratiform",By-product resource,"Volcanics, sediments",Lachlan Fold Belt,Silurian-Devonian volcano-sedimentary sequence,Syngenetic to epigenetic,Sb: 0.2-0.5%; Zn: 5-10%; Pb: 3-5%; Ag: 50-150 g/t,Complex VHMS deposit; Sb in late-stage mineralization,Antimony
Sentein,France,Carboniferous (320-350 Ma),Hydrothermal,ASTER/Landsat mapped vein systems,IP surveys mapped sulfide bodies; magnetic data detected structures,Mesothermal vein,"Main: Pb, Zn; By-product: Sb","Tetrahedrite, bournonite, galena, sphalerite","Pb, Zn, Ag, Cu, As",Multiple veins,Historic producer,"Schist, limestone",Pyrenees,Paleozoic metamorphic sequence,Structural control; fault-related,Sb: 1.0-2.0%; Pb: 5-10%; Zn: 3-8%; Ag: 100-300 g/t,Polymetallic vein system; historic mining district,Antimony
Atlı,Turkey,Cretaceous-Tertiary (50-70 Ma),Hydrothermal,ASTER/Landsat mapped alteration zones,IP surveys mapped sulfide bodies; magnetic data detected structures,Epithermal,Main: Sb,"Stibnite, pyrite, arsenopyrite","As, Au, Hg","Multiple veins, stockwork","25,000 t Sb at 2.5% Sb","Volcanics, sediments",Pontide Arc,Upper Cretaceous-Paleogene volcano-sedimentary sequence,Structural control; volcanic-related,Sb: 2.0-3.0%; As: 0.2-0.5%; Au: 0.5-1.0 g/t,Epithermal Sb deposit; volcanic association,Antimony
