Deposit Name,Location,Age of Deposit,Ore Genesis,Remote Sensing Data & Results,Geophysical Data,Type of Deposit,Main/By-Product/Co-Product,Mineralogy,Pathfinder Elements,Geometry of Ore Body,Ore Body Characterization,Host Rocks,Tectonic Settings,Stratigraphy,Control of Mineralization,Geochemical Results,Geological Features,Mineral
Tenke Fungurume,DRC,Neoproterozoic (880-600 Ma),Sedimentary-diagenetic,ASTER/Landsat mapped oxide caps; multispectral detected alteration,IP surveys mapped sulfide zones; magnetic data located structures,Sediment-hosted stratiform,"Main: Cu, Co","Carrollite, heterogenite, chalcocite, malachite","Cu, Ni, Mn, Fe","Stratiform, tabular",15.2 Mt Co at 0.43% Co,Roan Group dolomites and shales,Lufilian Arc,"Mines Subgroup, Roan Group",Redox boundaries; structural control,Co: 0.35-0.45%; Cu: 2.5-4.0%,Oxidized caps; supergene enrichment; fracture control,Cobalt
Kamoto,DRC,Neoproterozoic (880-600 Ma),Sedimentary-diagenetic,ASTER/Landsat mapped alteration zones,IP surveys mapped sulfide zones; magnetic data located structures,Sediment-hosted stratiform,"Main: Cu, Co","Carrollite, bornite, chalcopyrite","Cu, Ni, Mn, Fe","Stratiform, tabular",5.5 Mt Co at 0.45% Co,Roan Group dolomites and shales,Lufilian Arc,"Mines Subgroup, Roan Group",Redox boundaries; basin margins,Co: 0.4-0.5%; Cu: 3.5-5.0%,Ore in reduced zones; structural enhancement,Cobalt
Mutanda,DRC,Neoproterozoic (880-600 Ma),Sedimentary-diagenetic,ASTER/Landsat mapped oxide caps; multispectral detected alteration,IP surveys mapped sulfide zones; magnetic data located structures,Sediment-hosted stratiform,"Main: Cu, Co","Heterogenite, carrollite, malachite","Cu, Ni, Mn, Fe","Stratiform, tabular",5.1 Mt Co at 0.58% Co,Roan Group dolomites and shales,Lufilian Arc,"Mines Subgroup, Roan Group",Redox boundaries; structural control,Co: 0.5-0.6%; Cu: 1.9-2.5%,Oxide and mixed oxide-sulfide ores,Cobalt
Kolwezi,DRC,Neoproterozoic (880-600 Ma),Sedimentary-diagenetic,ASTER/Landsat mapped oxide caps; multispectral detected alteration,IP surveys mapped sulfide zones; magnetic data located structures,Sediment-hosted stratiform,"Main: Cu, Co","Heterogenite, carrollite, malachite","Cu, Ni, Mn, Fe","Stratiform, tabular",3.8 Mt Co at 0.52% Co,Roan Group dolomites and shales,Lufilian Arc,"Mines Subgroup, Roan Group",Redox boundaries; structural control,Co: 0.5-0.55%; Cu: 3.0-4.0%,Dome and basin structures; supergene enrichment,Cobalt
Kisanfu,DRC,Neoproterozoic (880-600 Ma),Sedimentary-diagenetic,ASTER/Landsat mapped oxide caps; multispectral detected alteration,IP surveys mapped sulfide zones; magnetic data located structures,Sediment-hosted stratiform,"Main: Cu, Co","Heterogenite, carrollite","Cu, Ni, Mn, Fe","Stratiform, tabular",3.1 Mt Co at 0.98% Co,Roan Group dolomites and shales,Lufilian Arc,"Mines Subgroup, Roan Group",Redox boundaries; structural control,Co: 0.9-1.0%; Cu: 1.8-2.2%,High Co:Cu ratio; significant oxide enrichment,Cobalt
Voisey's Bay,Canada,Mesoproterozoic (1.34 Ga),Magmatic,ASTER/Landsat mapped gossans; thermal detected heat anomalies,Electromagnetic surveys detected massive sulfides; magnetics mapped intrusions,Magmatic sulfide,"Main: Ni, Cu; By-product: Co","Pentlandite, pyrrhotite, chalcopyrite","Cu, Ni, Pt, Pd","Massive to disseminated, dyke-like",0.165 Mt Co at 0.13% Co,"Troctolite, gabbro",Intraplate rift,Nain Plutonic Suite,Magma mixing; sulfide segregation,Co: 0.1-0.15%; Ni: 2.2-2.8%; Cu: 1.5-1.8%,Magma conduit; contamination by country rocks,Cobalt
Sudbury,Canada,Paleoproterozoic (1.85 Ga),Magmatic-impact,ASTER/Landsat mapped intrusion structure,Gravity surveys outlined basin; magnetic data mapped intrusions,Magmatic sulfide,"Main: Ni, Cu; By-product: Co, PGE","Pentlandite, chalcopyrite, pyrrhotite","Cu, Ni, Pt, Pd",Contact-type to offset dykes,0.3 Mt Co at 0.05% Co,"Norite, gabbro, granophyre",Impact structure,Sudbury Igneous Complex,Impact melt; sulfide segregation,Co: 0.04-0.06%; Ni: 1.0-1.5%; Cu: 1.0-1.5%,Meteorite impact origin; multiple ore types,Cobalt
Jinchuan,China,Neoproterozoic (825 Ma),Magmatic,ASTER/Landsat mapped intrusion and gossans,Gravity and magnetic surveys mapped intrusion geometry,Magmatic sulfide,"Main: Ni, Cu; By-product: Co, PGE","Pentlandite, chalcopyrite, pyrrhotite","Cu, Ni, Pt, Pd","Dyke-like, 6.5 km length",0.7 Mt Co at 0.026% Co,Ultramafic intrusion,Intraplate rift,Longshoushan Group,Magma conduit; sulfide segregation,Co: 0.02-0.03%; Ni: 0.7-1.0%; Cu: 0.4-0.8%,Magma conduit; multiple intrusive phases,Cobalt
Norilsk-Talnakh,Russia,Permian-Triassic (250 Ma),Magmatic,ASTER/Landsat mapped intrusions,Gravity and magnetic surveys mapped intrusions,Magmatic sulfide,"Main: Ni, Cu, PGE; By-product: Co","Pentlandite, chalcopyrite, pyrrhotite, millerite","Cu, Ni, Pt, Pd","Massive to disseminated, sheet-like",0.8 Mt Co at 0.06% Co,"Basalt, gabbro-dolerite",Intraplate LIP,Siberian Traps,Magma conduit; sulfide segregation,Co: 0.05-0.07%; Ni: 1.5-3.0%; Cu: 1.5-3.5%,Flood basalt province; S-rich country rocks,Cobalt
