Deposit Name,Location,Age of Deposit,Ore Genesis,Remote Sensing Data & Results,Geophysical Data,Type of Deposit,Main/By-Product/Co-Product,Mineralogy,Pathfinder Elements,Geometry of Ore Body,Ore Body Characterization,Host Rocks,Tectonic Settings,Stratigraphy,Control of Mineralization,Geochemical Results,Geological Features,Mineral
Escondida,Chile,Eocene-Oligocene (31-34 Ma),Porphyry,ASTER/Landsat mapped alteration halo; multispectral identified clay zones,Magnetic surveys outlined intrusions; IP detected sulfide zones,Porphyry Cu,"Main: Cu; By-product: Mo, Au","Chalcopyrite, bornite, chalcocite, pyrite","Mo, Au, Re","Cylindrical, stockwork",7.2 Gt at 0.61% Cu,Granodiorite porphyry,Andean subduction zone,Tertiary intrusives,Magmatic-hydrothermal; multiple intrusions,Cu: 0.5-1.0%; Mo: 0.01-0.02%; Au: 0.1-0.2 g/t,World's largest copper mine; supergene enrichment,Copper
Grasberg,Indonesia,Pliocene (2-4 Ma),Porphyry-skarn,ASTER/Landsat mapped alteration zones; multispectral detected iron oxides,Magnetic surveys outlined intrusion complex; IP mapped mineralization,Porphyry-skarn,"Main: Cu, Au; By-product: Ag, Mo","Chalcopyrite, bornite, digenite, gold","Au, Ag, Mo, Zn","Cylindrical, composite","2.8 Gt at 0.96% Cu, 0.77 g/t Au","Diorite to monzonite porphyry, limestone",Island arc,Tertiary intrusives,Magmatic-hydrothermal; limestone contact,Cu: 0.7-1.2%; Au: 0.5-1.0 g/t; Ag: 3-5 g/t,High-grade porphyry-skarn hybrid system,Copper
El Teniente,Chile,Miocene (4.6-5.5 Ma),Porphyry,ASTER/Landsat mapped alteration halo; multispectral identified mineral zones,Magnetic surveys outlined intrusion; IP detected sulfide zones,Porphyry Cu,Main: Cu; By-product: Mo,"Chalcopyrite, bornite, tennantite, pyrite","Mo, Re, As","Cylindrical, stockwork",3.1 Gt at 0.72% Cu,"Granodiorite, volcanic breccia",Andean subduction zone,Miocene intrusives,Magmatic-hydrothermal; pipe brecciation,Cu: 0.6-0.9%; Mo: 0.02-0.03%,World's largest underground copper mine,Copper
Chuquicamata,Chile,Eocene (34-31 Ma),Porphyry,ASTER/Landsat mapped alteration halo; multispectral identified mineral zones,Magnetic surveys outlined intrusive system; IP mapped sulfide zones,Porphyry Cu,Main: Cu; By-product: Mo,"Chalcopyrite, chalcocite, covellite, pyrite","Mo, Re","Elongated, fault-controlled",4.2 Gt at 0.7% Cu,Granodiorite porphyry,Andean subduction zone,Tertiary intrusives,Magmatic-hydrothermal; structural control,Cu: 0.6-0.9%; Mo: 0.025-0.04%,Giant porphyry; West Fault control; supergene enrichment,Copper
Olympic Dam,Australia,Mesoproterozoic (1.59 Ga),IOCG,ASTER/Landsat mapped surface alteration,Gravity surveys detected dense body; magnetic anomaly,IOCG,"Main: Cu; By-product: U, Au, Ag, REE","Chalcopyrite, bornite, chalcocite, uraninite","U, Au, Ag, REE, Ba, F","Breccia complex, 6 km × 3 km","10.7 Gt at 0.74% Cu, 0.3 kg/t U₃O₈",Hematite breccia complex,Intracratonic rift,Roxby Downs Granite,Magmatic-hydrothermal brecciation,Cu: 0.5-1.0%; U₃O₈: 0.2-0.4 kg/t; Au: 0.3-0.6 g/t,World's largest uranium deposit; IOCG prototype,Copper
Kamoa-Kakula,DRC,Neoproterozoic (800-760 Ma),Sediment-hosted,ASTER/Landsat mapped prospective stratigraphy,IP surveys mapped sulfide zones; magnetic data located structures,Sediment-hosted,"Main: Cu; By-product: Co, Ag","Chalcocite, bornite, chalcopyrite","Co, Ag","Stratiform, tabular",1.4 Gt at 2.7% Cu,"Grand Conglomerate, diamictite",Lufilian Arc,Nguba Group,Redox boundaries,Cu: 2-4%; Co: 0.1-0.3%; Ag: 3-5 g/t,World-class high-grade sediment-hosted deposit,Copper
Tenke Fungurume,DRC,Neoproterozoic (880-600 Ma),Sediment-hosted,ASTER/Landsat mapped oxide caps; multispectral detected alteration,IP surveys mapped sulfide zones; magnetic data located structures,Sediment-hosted,"Main: Cu, Co","Malachite, heterogenite, chalcocite, carrollite","Co, Ni, Mn, Fe","Stratiform, tabular","652 Mt at 2.55% Cu, 0.41% Co",Roan Group dolomites and shales,Lufilian Arc,"Mines Subgroup, Roan Group",Redox boundaries; structural control,Cu: 2.0-3.0%; Co: 0.35-0.45%,High-grade Cu-Co; oxidized caps; supergene enrichment,Copper
Los Bronces-Río Blanco,Chile,Miocene (4.5-8.2 Ma),Porphyry,ASTER/Landsat mapped alteration halo; multispectral identified mineral zones,Magnetic surveys outlined intrusive system; IP mapped sulfide zones,Porphyry Cu,Main: Cu; By-product: Mo,"Chalcopyrite, bornite, pyrite, molybdenite","Mo, Re","Cylindrical, stockwork",3.1 Gt at 0.67% Cu,"Andesitic volcanic rocks, granodiorite",Andean subduction zone,Miocene intrusives,Magmatic-hydrothermal; tourmaline breccias,Cu: 0.6-0.8%; Mo: 0.01-0.02%,High-altitude porphyry; tourmaline breccia pipes,Copper
Bingham Canyon,USA,Tertiary (37-38 Ma),Porphyry,ASTER/Landsat mapped alteration zones; multispectral detected mineral zonation,Magnetic surveys outlined intrusive system; IP mapped sulfide zones,Porphyry Cu,"Main: Cu; By-product: Mo, Au, Ag","Chalcopyrite, bornite, pyrite, molybdenite","Mo, Au, Ag, Pb, Zn","Cylindrical, stockwork",3.2 Gt at 0.65% Cu,Monzonite porphyry,Back-arc extension,Middle Tertiary intrusives,Magmatic-hydrothermal; concentric zoning,Cu: 0.5-0.8%; Mo: 0.03-0.05%; Au: 0.2-0.4 g/t,Classic porphyry deposit; first recognized porphyry type,Copper
Collahuasi,Chile,Eocene-Oligocene (31-34 Ma),Porphyry,ASTER/Landsat mapped alteration zones; multispectral detected mineral zones,Magnetic surveys outlined intrusive system; IP mapped sulfide zones,Porphyry Cu,Main: Cu; By-product: Mo,"Chalcopyrite, bornite, pyrite, molybdenite","Mo, Re","Cylindrical, stockwork",2.8 Gt at 1.0% Cu,"Dacite, rhyolite porphyry",Andean subduction zone,Tertiary intrusives,Magmatic-hydrothermal; multiple centers,Cu: 0.8-1.2%; Mo: 0.02-0.03%,Multiple porphyry centers; high copper grades,Copper
Morenci,USA,Paleocene (56 Ma),Porphyry,ASTER/Landsat mapped alteration halo; multispectral identified mineral zones,Magnetic surveys outlined intrusive system; IP mapped sulfide zones,Porphyry Cu,"Main: Cu; By-product: Mo, Au","Chalcopyrite, chalcocite, pyrite, molybdenite","Mo, Au","Cylindrical, stockwork",6.5 Gt at 0.45% Cu,Granodiorite porphyry,Laramide orogeny,Tertiary intrusives,Magmatic-hydrothermal; supergene enrichment,Cu: 0.4-0.6%; Mo: 0.01-0.02%,Extensive supergene enrichment; multiple intrusive phases,Copper
Oyu Tolgoi,Mongolia,Devonian (370-375 Ma),Porphyry,ASTER/Landsat mapped alteration zones; multispectral detected mineral zones,Magnetic surveys outlined intrusive system; IP mapped sulfide zones,Porphyry Cu,"Main: Cu, Au; By-product: Ag, Mo","Chalcopyrite, bornite, chalcocite, gold","Au, Mo, Ag","Cylindrical, stockwork","2.7 Gt at 0.86% Cu, 0.3 g/t Au","Quartz monzodiorite, granodiorite",Island arc,Devonian intrusives,Magmatic-hydrothermal; advanced argillic alteration,Cu: 0.7-1.1%; Au: 0.2-0.5 g/t,High-grade porphyry system; Hugo Dummett deposit,Copper
