Deposit Name,Location,Age of Deposit,Ore Genesis,Remote Sensing Data & Results,Geophysical Data,Type of Deposit,Main/By-Product/Co-Product,Mineralogy,Pathfinder Elements,Geometry of Ore Body,Ore Body Characterization,Host Rocks,Tectonic Settings,Stratigraphy,Control of Mineralization,Geochemical Results,Geological Features,Mineral
Bayer Process (various bauxites),Global,Tertiary-Recent (0-65 Ma),Weathering,ASTER/Landsat mapped bauxite plateaus; multispectral detected Al-rich zones,Radiometric surveys mapped bauxite horizons,Bauxite,By-product: Ga; Main: Al,"Gallium substitution in gibbsite, boehmite, diaspore","Al, Fe, Ti, Cr",Blanket-like laterite deposits,Produced as by-product,Weathered igneous/sedimentary,Various (tropical/subtropical),Laterite profile,Intense tropical weathering; leaching,Ga: 30-80 ppm; Al₂O₃: 45-60%; Fe₂O₃: 5-25%,Major source of global Ga; by-product of aluminum refining,Gallium
Weipa,Australia,Tertiary-Quaternary (2-30 Ma),Weathering,ASTER/Landsat mapped bauxite plateaus,Radiometric surveys mapped laterite profile,Bauxite,By-product: Ga; Main: Al,Gallium substitution in gibbsite,"Al, Fe, Ti",Blanket-like laterite deposits,73 t Ga at 50 ppm Ga,Weathered sediments,Carpentaria Basin,Laterite profile over Bulimba Formation,Intense tropical weathering; leaching,Ga: 40-60 ppm; Al₂O₃: 50-55%; Fe₂O₃: 7-15%,Major bauxite deposit; significant Ga content,Gallium
Gove,Australia,Tertiary-Quaternary (2-30 Ma),Weathering,ASTER/Landsat mapped bauxite plateaus,Radiometric surveys mapped laterite profile,Bauxite,By-product: Ga; Main: Al,Gallium substitution in gibbsite,"Al, Fe, Ti",Blanket-like laterite deposits,66 t Ga at 55 ppm Ga,Weathered sediments,Carpentaria Basin,Laterite profile,Intense tropical weathering; leaching,Ga: 45-65 ppm; Al₂O₃: 48-52%; Fe₂O₃: 8-18%,Major bauxite deposit; significant Ga content,Gallium
Los Pijiguaos,Venezuela,Tertiary-Quaternary (5-30 Ma),Weathering,ASTER/Landsat mapped bauxite plateaus,Radiometric surveys mapped laterite profile,Bauxite,By-product: Ga; Main: Al,Gallium substitution in gibbsite,"Al, Fe, Ti",Blanket-like laterite deposits,60 t Ga at 50 ppm Ga,Weathered granites,Guiana Shield,Laterite profile over Precambrian basement,Intense tropical weathering; leaching,Ga: 40-60 ppm; Al₂O₃: 45-50%; Fe₂O₃: 8-15%,Major bauxite deposit; significant Ga content,Gallium
Pará/Trombetas,Brazil,Tertiary-Quaternary (5-30 Ma),Weathering,ASTER/Landsat mapped bauxite plateaus,Radiometric surveys mapped laterite profile,Bauxite,By-product: Ga; Main: Al,Gallium substitution in gibbsite,"Al, Fe, Ti",Blanket-like laterite deposits,80 t Ga at 60 ppm Ga,Weathered sediments,Amazon Basin,Laterite profile over Alter do Chão Formation,Intense tropical weathering; leaching,Ga: 50-70 ppm; Al₂O₃: 45-55%; Fe₂O₃: 5-15%,Major bauxite deposit; significant Ga content,Gallium
Boké/Sangarédi,Guinea,Tertiary-Quaternary (5-30 Ma),Weathering,ASTER/Landsat mapped bauxite plateaus,Radiometric surveys mapped laterite profile,Bauxite,By-product: Ga; Main: Al,"Gallium substitution in gibbsite, boehmite","Al, Fe, Ti",Blanket-like laterite deposits,72 t Ga at 60 ppm Ga,Weathered sediments,West African Shield,Laterite profile,Intense tropical weathering; leaching,Ga: 50-70 ppm; Al₂O₃: 45-50%; Fe₂O₃: 15-25%,Major bauxite deposit; significant Ga content,Gallium
Boke,Guinea,Tertiary-Quaternary (5-30 Ma),Weathering,ASTER/Landsat mapped bauxite plateaus,Radiometric surveys mapped laterite profile,Bauxite,By-product: Ga; Main: Al,"Gallium substitution in gibbsite, boehmite","Al, Fe, Ti",Blanket-like laterite deposits,72 t Ga at 60 ppm Ga,Weathered dolerites,West African Shield,Laterite profile,Intense tropical weathering; leaching,Ga: 50-70 ppm; Al₂O₃: 45-50%; Fe₂O₃: 15-25%,Major bauxite deposit; significant Ga content,Gallium
Kindia,Guinea,Tertiary-Quaternary (5-30 Ma),Weathering,ASTER/Landsat mapped bauxite plateaus,Radiometric surveys mapped laterite profile,Bauxite,By-product: Ga; Main: Al,"Gallium substitution in gibbsite, boehmite","Al, Fe, Ti",Blanket-like laterite deposits,65 t Ga at 55 ppm Ga,Weathered dolerites,West African Shield,Laterite profile,Intense tropical weathering; leaching,Ga: 45-65 ppm; Al₂O₃: 45-50%; Fe₂O₃: 18-25%,Major bauxite deposit; significant Ga content,Gallium
Darling Range,Australia,Tertiary-Quaternary (2-30 Ma),Weathering,ASTER/Landsat mapped bauxite plateaus,Radiometric surveys mapped laterite profile,Bauxite,By-product: Ga; Main: Al,"Gallium substitution in gibbsite, boehmite","Al, Fe, Ti",Blanket-like laterite deposits,35 t Ga at 25 ppm Ga,Weathered granites,Yilgarn Craton,Laterite profile,Intense weathering; leaching,Ga: 20-30 ppm; Al₂O₃: 30-35%; Fe₂O₃: 15-25%,Low-grade bauxite; lower Ga content,Gallium
Suriname,Suriname,Tertiary-Quaternary (5-30 Ma),Weathering,ASTER/Landsat mapped bauxite plateaus,Radiometric surveys mapped laterite profile,Bauxite,By-product: Ga; Main: Al,Gallium substitution in gibbsite,"Al, Fe, Ti",Blanket-like laterite deposits,40 t Ga at 40 ppm Ga,Weathered sediments,Guiana Shield,Laterite profile,Intense tropical weathering; leaching,Ga: 30-50 ppm; Al₂O₃: 45-55%; Fe₂O₃: 5-15%,Major bauxite deposit; moderate Ga content,Gallium
