Deposit Name,Location,Age of Deposit,Ore Genesis,Remote Sensing Data & Results,Geophysical Data,Type of Deposit,Main/By-Product/Co-Product,Mineralogy,Pathfinder Elements,Geometry of Ore Body,Ore Body Characterization,Host Rocks,Tectonic Settings,Stratigraphy,Control of Mineralization,Geochemical Results,Geological Features,Mineral
Balama,Mozambique,Neoproterozoic (1.1 Ga),Metamorphic,ASTER/Landsat mapped graphite-rich schists,EM surveys detected conductive zones; IP identified graphite zones,Metamorphic,Main: Graphite; Co-product: V,"Graphite, muscovite, quartz, pyrrhotite","V, S, Ti","Stratiform, folded",124.7 Mt at 13.2% TGC,"Graphitic schist, gneiss",Pan-African orogen,Montepuez Complex,Metamorphism of organic-rich sediments,TGC: 8-18%; V₂O₅: 0.4%; low S,Large flake graphite deposit; high crystallinity,Graphite
Syrah,Mozambique,Neoproterozoic (1.1 Ga),Metamorphic,ASTER/Landsat mapped graphite-rich schists,EM surveys detected conductive zones; IP identified graphite zones,Metamorphic,Main: Graphite; Co-product: V,"Graphite, muscovite, quartz, pyrrhotite","V, S, Ti","Stratiform, folded",124.7 Mt at 13.2% TGC,"Graphitic schist, gneiss",Pan-African orogen,Montepuez Complex,Metamorphism of organic-rich sediments,TGC: 8-18%; V₂O₅: 0.4%; low S,World's largest flake graphite deposit,Graphite
Lac Knife,Canada,Grenvillian (1.9 Ga),Metamorphic,ASTER/Landsat mapped graphite-rich paragneiss,EM surveys detected conductive zones; magnetic data mapped structures,Metamorphic,Main: Graphite,"Graphite, quartz, feldspar, biotite","S, Fe","Stratiform, folded",9.6 Mt at 14.8% TGC,Paragneiss,Grenville Province,Nault Formation,High-grade metamorphism of organic-rich sediments,TGC: 10-25%; low S,"High-purity, large flake graphite; high crystallinity",Graphite
Lac des Iles,Canada,Grenvillian (1.05 Ga),Metamorphic,ASTER/Landsat mapped graphite-rich marbles,EM surveys detected conductive zones; magnetic data mapped structures,Metamorphic,Main: Graphite,"Graphite, calcite, diopside, scapolite","Ca, Mg, Si","Stratiform, folded",Historical producer,"Marble, paragneiss",Grenville Province,Grenville Supergroup,Metamorphism of organic-rich carbonates,TGC: 7-10%; low impurities,Producing flake graphite mine in marble,Graphite
Uley,Australia,Paleoproterozoic (1.8 Ga),Metamorphic,ASTER/Landsat mapped graphite-rich schists,EM surveys detected conductive zones; magnetic data mapped structures,Metamorphic,Main: Graphite,"Graphite, quartz, feldspar, biotite","S, Fe","Stratiform, folded",6.6 Mt at 11.0% TGC,"Schist, gneiss",Gawler Craton,Hutchison Group,Metamorphism of organic-rich sediments,TGC: 7-15%; low S,High-quality flake graphite; historically mined,Graphite
Molo,Madagascar,Neoproterozoic (550-700 Ma),Metamorphic,ASTER/Landsat mapped graphite-rich schists,EM surveys detected conductive zones; magnetic data mapped structures,Metamorphic,Main: Graphite,"Graphite, quartz, feldspar, biotite","S, Fe","Stratiform, folded",141.3 Mt at 6.1% TGC,"Graphitic gneiss, schist",Pan-African orogen,Ampanihy Mobile Belt,Metamorphism of organic-rich sediments,TGC: 4-10%; large flake size,High proportion of large flake graphite,Graphite
Mahenge,Tanzania,Neoproterozoic (650-850 Ma),Metamorphic,ASTER/Landsat mapped graphite-rich gneisses,EM surveys detected conductive zones; magnetic data mapped structures,Metamorphic,Main: Graphite,"Graphite, quartz, feldspar, biotite","S, Fe","Stratiform, folded",59.5 Mt at 9.8% TGC,Graphitic gneiss,East African Orogen,Usagaran System,Metamorphism of organic-rich sediments,TGC: 7-12%; large flake size,High proportion of jumbo flake graphite,Graphite
Lindi Jumbo,Tanzania,Neoproterozoic (650-850 Ma),Metamorphic,ASTER/Landsat mapped graphite-rich gneisses,EM surveys detected conductive zones; magnetic data mapped structures,Metamorphic,Main: Graphite,"Graphite, quartz, feldspar, biotite","S, Fe","Stratiform, folded",5.5 Mt at 16.0% TGC,Graphitic gneiss,East African Orogen,Usagaran System,Metamorphism of organic-rich sediments,TGC: 12-20%; large flake size,High-grade deposit; high proportion of jumbo flake,Graphite
Nunasvaara,Sweden,Paleoproterozoic (1.9 Ga),Metamorphic,ASTER/Landsat mapped graphite-rich schists,EM surveys detected conductive zones; magnetic data mapped structures,Metamorphic,Main: Graphite,"Graphite, quartz, feldspar, biotite","S, V, Mo","Stratiform, folded",12.3 Mt at 25.5% TGC,Graphitic schist,Svecokarelian Orogen,Vittangi Group,Metamorphism of organic-rich sediments,TGC: 20-30%; high purity,Ultra-high-grade graphite deposit,Graphite
Zavalievsky,Ukraine,Proterozoic (2.0 Ga),Metamorphic,ASTER/Landsat mapped graphite-rich gneisses,EM surveys detected conductive zones; magnetic data mapped structures,Metamorphic,Main: Graphite,"Graphite, quartz, feldspar, biotite","S, Fe","Stratiform, folded",Historical producer,Graphitic gneiss,Ukrainian Shield,Bug Series,Metamorphism of organic-rich sediments,TGC: 5-10%; medium flake size,Operating graphite mine; medium flake quality,Graphite
