Deposit Name,Location,Age of Deposit,Ore Genesis,Remote Sensing Data & Results,Geophysical Data,Type of Deposit,Main/By-Product/Co-Product,Mineralogy,Pathfinder Elements,Geometry of Ore Body,Ore Body Characterization,Host Rocks,Tectonic Settings,Stratigraphy,Control of Mineralization,Geochemical Results,Geological Features,Mineral
Kalahari,South Africa,Paleoproterozoic (2.2 Ga),Sedimentary,ASTER/Landsat mapped manganese formations,Magnetic surveys detected low signatures; gravity defined basin,Sedimentary,Main: Mn; By-product: Fe,"Braunite, hausmannite, bixbyite, hematite","Fe, Ba, K",Stratiform beds,4.2 Gt at 37-40% Mn,"Banded iron formation, lutite",Transvaal Basin,Hotazel Formation,Marine chemical precipitation; basin restriction,Mn: 37-45%; Fe: 4-18%; P: <0.05%,World's largest manganese deposit; multiple seams,Manganese
Groote Eylandt,Australia,Cretaceous (100-120 Ma),Sedimentary-diagenetic,ASTER/Landsat mapped manganese cap,Magnetic surveys showed weak anomalies; radiometric mapped units,Sedimentary,Main: Mn,"Pyrolusite, cryptomelane, nsutite","Fe, Ba, Co","Stratiform, lenticular",159 Mt at 44% Mn,"Sandstone, siltstone",Carpentaria Basin,Mullaman beds,Shallow marine environment; diagenetic enrichment,Mn: 42-48%; Fe: 3-5%; P: <0.05%; SiO₂: 5-10%,High-grade supergene enrichment; low impurities,Manganese
Urucum,Brazil,Neoproterozoic (700 Ma),Sedimentary,ASTER/Landsat mapped manganese-rich plateaus,Magnetic and radiometric surveys mapped stratigraphy,Sedimentary,"Main: Mn, Fe","Pyrolusite, cryptomelane, hematite","Fe, Ba",Stratiform beds,250 Mt at 45% Mn,"Jaspilite, iron formation",Paraguai Belt,Santa Cruz Formation,Marine chemical precipitation,Mn: 43-47%; Fe: 10-20%; SiO₂: 3-7%,High-grade stratabound deposit; associated with BIF,Manganese
Moanda,Gabon,Paleoproterozoic (2.15 Ga),Sedimentary-weathered,ASTER/Landsat mapped laterite plateaus,Magnetic surveys showed weak anomalies; radiometric mapped units,Sedimentary-supergene,Main: Mn,"Pyrolusite, nsutite, cryptomelane","Fe, Co, Ni","Stratiform, lateritic cap",200 Mt at 48% Mn,Weathered black shale,Franceville Basin,Francevillian Series,Weathering of Mn-rich shales,Mn: 45-52%; Fe: 3-8%; P: <0.1%,High-grade lateritic manganese deposit,Manganese
Molango,Mexico,Jurassic (160-180 Ma),Sedimentary,ASTER/Landsat mapped manganese formations,Magnetic and radiometric surveys mapped stratigraphy,Sedimentary,Main: Mn,"Pyrolusite, rhodochrosite, manganocalcite","Ca, Si, Fe",Stratiform beds,160 Mt at 28% Mn,"Limestone, calcareous shale",Sierra Madre Oriental,Chipoco Formation,Marine chemical precipitation,Mn: 25-32%; Fe: 1-3%; SiO₂: 10-15%,Carbonate-hosted manganese deposit,Manganese
Nikopol,Ukraine,Oligocene (23-34 Ma),Sedimentary,ASTER/Landsat mapped manganese-rich basin,Magnetic surveys showed weak anomalies; gravity defined basin,Sedimentary,Main: Mn,"Pyrolusite, psilomelane, manganite","Fe, Ba","Stratiform, lenticular",700 Mt at 25% Mn,"Claystone, sandstone",Pripyat-Dnieper-Donetsk Basin,Oligocene sediments,Shallow marine basin,Mn: 22-28%; Fe: 1-4%; P: 0.1-0.2%,Extensive stratiform deposit in shallow basin,Manganese
Nsuta,Ghana,Birimian (2.1 Ga),Metamorphic,ASTER/Landsat mapped manganese-rich ridges,Magnetic surveys detected structures; radiometric mapped units,Metamorphic,Main: Mn,"Pyrolusite, nsutite, cryptomelane, romanechite","Fe, Ba","Lenticular, folded",5 Mt at 48% Mn,"Phyllite, greenschist",Birimian Greenstone Belt,Birimian Supergroup,Metamorphosed chemical sediments,Mn: 45-52%; Fe: 2-5%; SiO₂: 5-8%,High-grade metamorphosed Mn deposit,Manganese
Xiangtan,China,Sinian (635-551 Ma),Sedimentary,ASTER/Landsat mapped manganese formations,Magnetic and radiometric surveys mapped stratigraphy,Sedimentary,Main: Mn,"Rhodochrosite, pyrolusite, psilomelane","Ca, Si, Fe",Stratiform beds,100 Mt at 20% Mn,"Dolostone, limestone",Yangtze Platform,Doushantuo Formation,Marine chemical precipitation,Mn: 18-25%; Fe: 2-5%; P: 0.1-0.3%,Extensive carbonate-hosted stratiform deposit,Manganese
Chvaletice,Czech Republic,Proterozoic (560-1000 Ma),Volcanogenic,ASTER/Landsat mapped tailings facility,Magnetic surveys mapped pyrrhotite-rich zones,Volcanogenic,Main: Mn; By-product: REE,"Rhodochrosite, kutnohorite, pyrrhotite","Fe, Si, Ca, REE",Anthropogenic (tailings),27 Mt at 7.3% Mn,Tailings from pyrite ore,Bohemian Massif,Chvaletice Tailings,Oxidation of Mn-bearing sulfides,Mn: 7-8%; Fe: 15-20%; REE: 0.1%,Manganese recovery from historic mine tailings,Manganese
Comilog,Gabon,Paleoproterozoic (2.15 Ga),Sedimentary-weathered,ASTER/Landsat mapped laterite plateaus,Magnetic surveys showed weak anomalies; radiometric mapped units,Sedimentary-supergene,Main: Mn,"Pyrolusite, nsutite, cryptomelane","Fe, Co, Ni","Stratiform, lateritic cap",278 Mt at 44% Mn,Weathered black shale,Franceville Basin,Francevillian Series,Weathering of Mn-rich shales,Mn: 40-48%; Fe: 3-8%; P: <0.1%,High-grade lateritic manganese deposit,Manganese
