Deposit Name,Location,Age of Deposit,Ore Genesis,Remote Sensing Data & Results,Geophysical Data,Type of Deposit,Main/By-Product/Co-Product,Mineralogy,Pathfinder Elements,Geometry of Ore Body,Ore Body Characterization,Host Rocks,Tectonic Settings,Stratigraphy,Control of Mineralization,Geochemical Results,Geological Features,Mineral
Bayan Obo,China,Mesoproterozoic (1.3-1.4 Ga),Carbonatite-related,ASTER/Landsat mapped alteration halo; multispectral detected Fe-oxide zones,Gravity surveys detected dense ore; magnetic data mapped Fe-rich zones,Carbonatite,"Main: REE, Fe; By-product: Nb","Bastnäsite, monazite, magnetite, fluorite","F, Ba, Sr, Th, Fe",Dike-like bodies and stratiform,48 Mt REO at 6% REO,"Dolomitic marble, limestone",Rift zone,"H8 dolomite, Bayan Obo Group",Hydrothermal replacement; structural control,ΣREE: 4-8%; La:Y > 10:1; Th < 0.3%,World's largest REE deposit; complex ore genesis,Rare
Mountain Pass,USA,Proterozoic (1.4 Ga),Carbonatite,ASTER/Landsat mapped carbonatite complex; multispectral detected alteration halo,Radiometric detected Th anomaly; magnetic data outlined intrusion,Carbonatite,"Main: REE; By-product: Ba, Sr","Bastnäsite, parisite, monazite","F, Ba, Sr, Th","Tabular, dike-like",16.7 Mt REO at 7.98% REO,Carbonatite intrusion,Craton margin,Precambrian gneiss country rock,Magmatic differentiation,ΣREE: 5-12%; LREE-enriched; La:Y > 20:1,"LREE-enriched carbonatite; enriched in Ce, La, Nd",Rare
Mount Weld,Australia,Archean-Paleoproterozoic (2.0-2.5 Ga),Carbonatite,ASTER/Landsat mapped circular structure; multispectral detected laterite cap,Gravity detected intrusion; magnetic data defined circular structure,Carbonatite,"Main: REE; By-product: Nb, Ta, P","Monazite, apatite, cerianite","P, Nb, Ta, Th, U",Circular lateritic cap,18.6 Mt REO at 8.9% REO,Lateritized carbonatite,Yilgarn Craton,Weathered carbonatite complex,Intense tropical weathering; residual enrichment,ΣREE: 7-15%; LREE-enriched; high P₂O₅,Lateritized carbonatite with supergene enrichment,Rare
Lovozero,Russia,Paleozoic (370 Ma),Alkaline intrusion,ASTER/Landsat mapped intrusive complex,Gravity and magnetic data outlined complex internal structure,Peralkaline syenite,"Main: REE, Nb; By-product: Ta, Zr","Loparite, eudialyte","Nb, Ta, Th, Zr, Ti",Layered intrusion,7 Mt REO at 0.9% REO,Nepheline syenite,Kola Alkaline Province,Lovozero Massif,Magmatic layering,ΣREE: 0.8-1.2%; Nb₂O₅: 0.25%; Ta₂O₅: 0.025%,Layered alkaline intrusion; loparite concentrate,Rare
Kvanefjeld,Greenland,Paleoproterozoic (1.1-1.2 Ga),Peralkaline intrusion,ASTER/Landsat mapped intrusive complex,"Radiometric detected U, Th anomalies; magnetic data outlined intrusion",Peralkaline intrusion,"Main: REE, U; By-product: Zn, F","Steenstrupine, eudialyte","U, Th, Zr, Nb, Ta","Sheet-like, layered sequences",11.1 Mt REO at 1.09% REO,Lujavrite (peralkaline nepheline syenite),Continental rift,Ilímaussaq complex,Magmatic differentiation,ΣREE: 1.0-1.5%; U: 300 ppm; Th: 800 ppm,"Complex alkaline intrusion with U, Th enrichment",Rare
Strange Lake,Canada,Mesoproterozoic (1.24 Ga),Peralkaline granite,ASTER/Landsat mapped intrusive complex,"Radiometric detected high Th, U; magnetic data outlined intrusion",Peralkaline granite,"Main: REE, Zr; By-product: Nb, Y","Gadolinite, kainosite, bastnäsite, zircon","Zr, Nb, Be, Th, U","Irregular, lens-shaped",5.1 Mt REO at 0.95% REO,Peralkaline granite,Anorogenic intrusion,Nain Plutonic Suite,Hydrothermal alteration of granite,ΣREE: 0.85-1.5%; HREE-enriched; ZrO₂: 3.3%,"HREE-enriched; high Zr, Nb, Y; multiple enrichment stages",Rare
Nolans Bore,Australia,Paleoproterozoic (1.52 Ga),Hydrothermal,ASTER/Landsat mapped alteration zone,"Radiometric detected Th, U anomalies; magnetic data mapped lineaments",Hydrothermal,"Main: REE, P; By-product: Th, U","Apatite, allanite, monazite","P, F, Th, U","Veins, dikes, stockwork",4.3 Mt REO at 2.9% REO,Granitic gneiss,Mobile belt,Arunta Complex,Structurally controlled veins,ΣREE: 2.5-3.5%; P₂O₅: 12%; Th: 0.2%,Phosphate-rich veins within metamorphic complex,Rare
Ngualla,Tanzania,Neoproterozoic (600 Ma),Carbonatite,ASTER/Landsat mapped circular structure,Radiometric detected Th anomaly; magnetic data outlined intrusion,Carbonatite,Main: REE; By-product: P,"Monazite, bastnäsite, apatite","P, Ba, Sr, Th",Circular weathered cap,4.2 Mt REO at 4.2% REO,Weathered carbonatite,East African Rift,Weathered carbonatite complex,Supergene enrichment in weathered zone,ΣREE: 3-6%; LREE-enriched; low Th,Weathered carbonatite with supergene enrichment,Rare
Zandkopsdrift,South Africa,Mesoproterozoic (750-770 Ma),Carbonatite,ASTER/Landsat mapped circular structure,Radiometric detected Th anomaly; magnetic data outlined intrusion,Carbonatite,Main: REE; By-product: Mn,"Monazite, bastnäsite, ancylite","Ba, Sr, Th, Mn","Circular intrusion, weathered","950,000 t REO at 2.2% REO","Carbonatite, phoscorite",Namaqua-Natal Belt,Weathered carbonatite complex,Supergene enrichment in weathered zone,ΣREE: 1.5-3.0%; LREE-enriched; low Th,Weathered carbonatite with supergene enrichment,Rare
Lofdal,Namibia,Mesoproterozoic (760 Ma),Carbonatite,ASTER/Landsat mapped alteration zones,Radiometric detected Th anomaly; magnetic data mapped dikes,Carbonatite dikes,"Main: REE, Y; By-product: Th","Xenotime, synchysite, thorite","Y, Th, Ca, F","Multiple dikes, veins",2.88 Mt contained REO,Carbonatite dikes and plugs,Continental rift margin,Lofdal Alkaline Complex,Hydrothermal alteration along dikes,ΣREE: 0.2-1.5%; HREE-enriched,HREE-enriched carbonatite dikes; high Y enrichment,Rare
