Deposit Name,Location,Age of Deposit,Ore Genesis,Remote Sensing Data & Results,Geophysical Data,Type of Deposit,Main/By-Product/Co-Product,Mineralogy,Pathfinder Elements,Geometry of Ore Body,Ore Body Characterization,Host Rocks,Tectonic Settings,Stratigraphy,Control of Mineralization,Geochemical Results,Geological Features,Mineral
Greenbushes,Australia,Archean (2.53 Ga),Magmatic-hydrothermal,Landsat/ASTER detected pegmatite ridge; hyperspectral identified mineral zones,Radiometric surveys show K anomaly; magnetic low due to alteration,LCT pegmatite,"Main: Li, Ta; Co-products: Sn","Tantalite, spodumene, cassiterite, beryl","Li, Cs, Rb, Sn, Be","Dyke-like, steeply dipping; 3.5 km length, 300 m width",120.5 Mt at 313 ppm Ta₂O₅,Archean amphibolite and gneiss,Collision zone near craton margin,Intruded into Balingup metamorphic belt,Structural control along fault zones,Ta₂O₅: 300-500 ppm; Li₂O: 1.8-3.5%; Sn: 0.1-0.2%,World's largest Ta producer; zoned pegmatite,Tantalum
Wodgina,Australia,Archean (2.84-2.90 Ga),Magmatic,Landsat/ASTER mapped pegmatite extent,"Radiometric surveys detected K, Th anomalies",LCT pegmatite,Main: Li; Co-products: Ta,"Tantalite, spodumene, cassiterite","Li, Cs, Rb, Sn, Be","Multiple dykes, 5 km strike length",151 Mt at 175 ppm Ta₂O₅,Archean greenstones,Pilbara Craton margin,Intrusive into greenstones,Structural control along shear zones,Ta₂O₅: 150-200 ppm; Li₂O: 1.1-1.3%,Multiple stacked pegmatite dykes; mineral zonation,Tantalum
Tanco,Canada,Archean (2.64 Ga),Magmatic,ASTER/Landsat detected pegmatite signature,"Radiometric surveys showed K, Cs anomalies",LCT pegmatite,"Main: Ta; Co-products: Cs, Li, Rb","Tantalite, wodginite, spodumene, pollucite","Li, Cs, Rb, Sn, Be","Lensoid, 1,070 m length, 1,070 m width, 100 m thick",2.1 Mt at 0.216% Ta₂O₅,Archean metavolcanics,Superior Province,Bird River greenstone belt,Fractionated pegmatite,Ta₂O₅: 0.2-0.3%; Cs₂O: 0.02-0.3%; Li₂O: 0.6-1.4%,"Highly zoned, fractionated pegmatite; Cs producer",Tantalum
Kenticha,Ethiopia,Neoproterozoic (550 Ma),Magmatic,ASTER/Landsat mapped pegmatite field,Radiometric surveys showed K anomaly,LCT pegmatite,"Main: Ta; Co-products: Nb, Be","Tantalite, columbite, beryl","Nb, Be, Li, Sn","Multiple dykes, 2 km strike length",Resource at 0.025% Ta₂O₅,Neoproterozoic metasediments,Pan-African orogen,Adola Belt,Fractionated pegmatite,Ta₂O₅: 200-300 ppm; Nb₂O₅: 100-200 ppm; BeO: 0.02-0.05%,Multiple pegmatite dykes; artisanal mining area,Tantalum
Manono,DRC,Paleoproterozoic (940 Ma),Magmatic,ASTER/Landsat detected large pegmatite outcrop,Radiometric surveys detected K-anomaly; magnetic low from alteration,LCT pegmatite,"Main: Li; Co-products: Sn, Ta","Spodumene, columbite-tantalite, cassiterite","Li, Cs, Rb, Sn, Be","Dyke-like, 13 km length, 400 m width",401 Mt at 800 ppm Ta₂O₅,Paleoproterozoic schist,Kibaran orogeny,Intrusive into Kibaran metasediments,Structural control along regional faults,Ta₂O₅: 800 ppm; Li₂O: 1.5-1.7%; Sn: 0.1%,World's largest pegmatite; multiple intrusion phases,Tantalum
Abu Dabbab,Egypt,Neoproterozoic (600 Ma),Rare-metal granite,ASTER/Landsat mapped granite dome,Radiometric and magnetic surveys outlined complex,Rare-metal granite,"Main: Ta; By-product: Nb, Sn","Columbite-tantalite, cassiterite","Nb, Sn, W, Li, Be",Small intrusion,44.5 Mt at 250 ppm Ta₂O₅,Albite granite,Arabian-Nubian Shield,Pan-African,Magmatic differentiation,Ta₂O₅: 200-300 ppm; Nb₂O₅: 100-200 ppm; Sn: 100-200 ppm,Specialized rare-metal granite,Tantalum
Nuweibi,Egypt,Neoproterozoic (600 Ma),Rare-metal granite,ASTER/Landsat mapped granite dome,Radiometric and magnetic surveys outlined complex,Rare-metal granite,"Main: Ta; By-product: Nb, Sn","Columbite-tantalite, cassiterite","Nb, Sn, W, Li, Be",Small intrusion,98 Mt at 146 ppm Ta₂O₅,Albite granite,Arabian-Nubian Shield,Pan-African,Magmatic differentiation,Ta₂O₅: 130-170 ppm; Nb₂O₅: 100-150 ppm; Sn: 100-200 ppm,Specialized rare-metal granite,Tantalum
Yichun,China,Jurassic (152 Ma),Rare-metal granite,ASTER/Landsat mapped granite dome,Radiometric and magnetic surveys outlined complex,Rare-metal granite,"Main: Li, Ta; By-product: Nb, Sn, Be","Columbite-tantalite, lepidolite","Li, Rb, Cs, Sn, Be",Lensoid intrusion,13 Mt at 0.018% Ta₂O₅,Albite-lepidolite granite,Cathaysia Block,Mesozoic granitoids,Magmatic differentiation,Ta₂O₅: 150-200 ppm; Li₂O: 0.3-0.6%; BeO: 0.02-0.04%,Li-mica granite; lepidolite-rich,Tantalum
Pitinga,Brazil,Proterozoic (1.8 Ga),Rare-metal granite,ASTER/Landsat mapped granite dome,Radiometric and magnetic surveys outlined complex,Rare-metal granite,"Main: Sn; By-product: Nb, Ta, REE","Columbite-tantalite, cassiterite, xenotime","Sn, Nb, REE, F, Zr",Circular intrusion,164 Mt at 0.021% Ta₂O₅,Topaz-cryolite granite,Amazon Craton,Madeira Suite,Magmatic differentiation; hydrothermal,Ta₂O₅: 200-300 ppm; SnO₂: 0.15-0.2%; Nb₂O₅: 0.2-0.3%,Specialized F-rich granite; cryolite-rich,Tantalum
Nazareno,Brazil,Proterozoic (1.8 Ga),Magmatic,ASTER/Landsat mapped pegmatite field,Radiometric surveys showed K anomaly,LCT pegmatite,"Main: Ta; Co-products: Sn, Li, Be","Tantalite, cassiterite, spodumene","Li, Sn, Be, Nb",Multiple dykes,Artisanal resource,"Proterozoic schist, gneiss",São Francisco Craton,Intrusive into metasediments,Fractionated pegmatite,Ta₂O₅: 200-400 ppm; SnO₂: 0.1-0.2%; Li₂O: 0.5-1.0%,Artisanal mining district; weathered pegmatites,Tantalum
