Deposit Name,Location,Age of Deposit,Ore Genesis,Remote Sensing Data & Results,Geophysical Data,Type of Deposit,Main/By-Product/Co-Product,Mineralogy,Pathfinder Elements,Geometry of Ore Body,Ore Body Characterization,Host Rocks,Tectonic Settings,Stratigraphy,Control of Mineralization,Geochemical Results,Geological Features,Mineral
San Rafael,Peru,Oligocene (25-30 Ma),Magmatic-hydrothermal,ASTER/Landsat mapped intrusion and alteration zones,Magnetic surveys outlined intrusion; IP mapped mineralization,Vein/replacement,Main: Sn,"Cassiterite, stannite","Cu, Zn, Ag, W, Bi",Vein system,1.4 Mt Sn at 4.5% Sn,"Limestone, granite",Andean Belt,Paleozoic metasediments,Structurally controlled veins,Sn: 2-7%; Cu: 0.1-0.3%; Zn: 0.5-1.0%,World's largest tin vein system; extremely high grade,Tin
Llallagua,Bolivia,Miocene (10-20 Ma),Magmatic-hydrothermal,ASTER/Landsat mapped intrusion and alteration zones,Magnetic surveys outlined intrusion; IP mapped mineralization,Porphyry/vein,"Main: Sn; By-product: W, Ag","Cassiterite, wolframite, stannite","W, Ag, Bi, Zn","Vein system, stockwork",Historic producer; ~1 Mt Sn,Quartz porphyry,Andean Belt,Miocene intrusives,Structurally controlled veins,Sn: 1-3%; W: 0.1-0.3%; Ag: 50-150 g/t,Historic high-grade tin district; vein system,Tin
Dachang,China,Permian-Triassic (250-260 Ma),Magmatic-hydrothermal,ASTER/Landsat mapped intrusion and alteration zones,Magnetic surveys outlined intrusion; IP mapped mineralization,Skarn/vein,"Main: Sn; By-product: Zn, In","Cassiterite, stannite, sphalerite","Zn, Pb, Cu, In","Skarn bodies, veins",0.5 Mt Sn at 1% Sn,"Limestone, granite",South China,Permian-Triassic carbonates,Contact metasomatism; hydrothermal veins,Sn: 0.5-1.5%; Zn: 3-6%; In: 100-300 ppm,Complex Sn-polymetallic deposit,Tin
Gejiu,China,Cretaceous (80-90 Ma),Magmatic-hydrothermal,ASTER/Landsat mapped intrusion and alteration zones,Magnetic surveys outlined intrusion; IP mapped mineralization,Skarn/greisen,"Main: Sn; By-product: Cu, Pb, Zn","Cassiterite, stannite, chalcopyrite","Cu, Zn, Pb, W, In","Skarn bodies, greisen, veins",0.7 Mt Sn at 1% Sn,"Limestone, granite",South China,Cretaceous granite,Contact metasomatism; greisen alteration,Sn: 0.5-2.0%; Cu: 0.5-1.0%; Zn: 2-5%,Major tin district; multiple deposit types,Tin
Cerro Rico,Bolivia,Miocene (13-14 Ma),Magmatic-hydrothermal,ASTER/Landsat mapped intrusion and alteration zones,Magnetic surveys outlined intrusion; IP mapped mineralization,Porphyry/vein,"Main: Ag; By-product: Sn, Zn","Cassiterite, stannite, argentite","Ag, Zn, Pb, Sn, Bi","Vein system, stockwork",Historic producer; 0.2 Mt Sn,"Dacite dome, sediments",Andean Belt,Miocene volcanics,Structurally controlled veins,Sn: 0.5-2.0%; Ag: 200-1000 g/t; Zn: 2-5%,Historic silver district; significant tin by-product,Tin
Colquiri,Bolivia,Miocene (10-20 Ma),Magmatic-hydrothermal,ASTER/Landsat mapped intrusion and alteration zones,Magnetic surveys outlined intrusion; IP mapped mineralization,Vein,"Main: Sn, Zn","Cassiterite, sphalerite, stannite","Zn, Pb, Ag, In",Vein system,0.18 Mt Sn at 0.83% Sn,"Sandstone, shale",Andean Belt,Paleozoic metasediments,Structurally controlled veins,Sn: 0.5-1.0%; Zn: 5-10%; Pb: 1-3%,Polymetallic vein system; significant tin producer,Tin
Pitinga,Brazil,Proterozoic (1.8 Ga),Magmatic-hydrothermal,ASTER/Landsat mapped granite dome,Radiometric and magnetic surveys outlined complex,Granite,"Main: Sn; By-product: Nb, Ta, F","Cassiterite, columbite-tantalite, cryolite","Nb, Ta, F, Zr, REE","Disseminated, greisen",0.35 Mt Sn at 0.17% Sn,Topaz-cryolite granite,Amazon Craton,Madeira Suite,Magmatic differentiation; hydrothermal,Sn: 0.15-0.25%; Nb₂O₅: 0.2-0.3%; Ta₂O₅: 0.02-0.03%,Specialized F-rich granite; cryolite-rich,Tin
Rondônia,Brazil,Proterozoic (0.95-1.1 Ga),Magmatic-hydrothermal,ASTER/Landsat mapped granite and alteration zones,Radiometric and magnetic surveys outlined complex,Granite/greisen,"Main: Sn; By-product: W, Nb, Ta","Cassiterite, wolframite, columbite","W, Nb, Ta, F, Li","Greisen, veins",0.25 Mt Sn at 0.5% Sn,Granite,Amazon Craton,Younger Granites of Rondônia,Magmatic differentiation; greisen alteration,Sn: 0.3-0.8%; W: 0.05-0.1%; Nb₂O₅: 0.02-0.05%,Multiple tin granites; greisen-style mineralization,Tin
Bangka-Belitung,Indonesia,Late Triassic (210-230 Ma),Magmatic-hydrothermal,ASTER/Landsat mapped granite and placer deposits,Radiometric and magnetic surveys outlined granite bodies,Granite/placer,Main: Sn,Cassiterite,"W, Nb, Ta, Zr","Greisen, veins, placer",1.0 Mt Sn at 0.01-0.05% Sn (offshore),"Granite, sediments",Sundaland,Triassic granites,Magmatic differentiation; placer concentration,Sn: 0.1-0.3% in primary; 0.01-0.1% in placer,Major placer tin producer; offshore mining,Tin
East Kemptville,Canada,Devonian (370-380 Ma),Magmatic-hydrothermal,ASTER/Landsat mapped intrusion and alteration zones,Magnetic surveys outlined intrusion; IP mapped mineralization,Greisen,"Main: Sn; By-product: Cu, Zn, Ag","Cassiterite, chalcopyrite, sphalerite","Cu, Zn, In, Ag",Greisen zones,0.056 Mt Sn at 0.165% Sn,Peraluminous granite,Appalachian orogeny,Devonian intrusives,Magmatic-hydrothermal; greisen alteration,Sn: 0.15-0.25%; Cu: 0.1-0.2%; Zn: 0.1-0.2%,Major greisen-style Sn deposit,Tin
Cornwall,UK,Permian-Carboniferous (270-300 Ma),Magmatic-hydrothermal,ASTER/Landsat mapped granite and alteration zones,Radiometric and magnetic surveys outlined granite bodies,Greisen/vein,"Main: Sn, Cu; By-product: W, Zn","Cassiterite, chalcopyrite, stannite","Cu, W, As, Zn, F","Greisen, veins",Historic producer; ~2 Mt Sn,"Granite, metasediments",Cornubian batholith,Carboniferous-Permian,Magmatic-hydrothermal; structurally controlled,Sn: 0.5-2.0%; Cu: 0.5-2.0%; W: 0.1-0.3%,Historic tin district; world's first major tin producer,Tin
Altenberg,Germany,Late Variscan (305-320 Ma),Magmatic-hydrothermal,ASTER/Landsat mapped intrusion and alteration zones,Radiometric and magnetic surveys outlined intrusive bodies,Greisen,Main: Sn; By-product: W,"Cassiterite, wolframite","W, Mo, Li, F","Greisen, stockwork",Historic producer; 0.25 Mt Sn,Granite,Erzgebirge,Variscan granites,Magmatic-hydrothermal; greisen alteration,Sn: 0.3-0.6%; W: 0.05-0.1%; Li₂O: 0.05-0.1%,Classic greisen deposit; historic producer,Tin
Mount Pleasant,Canada,Mississippian (330-340 Ma),Magmatic-hydrothermal,ASTER/Landsat mapped intrusion and alteration zones,Magnetic surveys outlined intrusion; IP mapped mineralization,Greisen/breccia,"Main: Sn, W, Mo; By-product: In, Bi","Cassiterite, wolframite, molybdenite","W, Mo, Bi, In, As",Multiple breccia/stockwork zones,0.014 Mt Sn at 0.37% Sn,Porphyritic granite,Appalachian orogeny,Late Devonian-Mississippian,Magmatic-hydrothermal; breccia zones,Sn: 0.2-0.4%; W: 0.1-0.3%; Mo: 0.05-0.1%,Complex Sn-W-Mo deposit; significant In enrichment,Tin
Panasqueira,Portugal,Carboniferous (290-300 Ma),Magmatic-hydrothermal,ASTER/Landsat mapped metasediments and alteration zones,IP surveys mapped vein systems; magnetic data defined intrusion,Vein,"Main: W; By-product: Sn, Cu","Wolframite, cassiterite, chalcopyrite","W, Sn, Cu, As, Bi",Flat-lying vein system,By-product resource,"Schist, greywacke, hidden granite",Iberian Massif,Beira schists,Flat vein system above cupola,Sn: 0.01-0.03%; W: 0.1-0.3%; Cu: 0.1-0.3%,Renowned flat-lying vein system; primarily W with Sn by-product,Tin
