Deposit Name,Location,Age of Deposit,Ore Genesis,Remote Sensing Data & Results,Geophysical Data,Type of Deposit,Main/By-Product/Co-Product,Mineralogy,Pathfinder Elements,Geometry of Ore Body,Ore Body Characterization,Host Rocks,Tectonic Settings,Stratigraphy,Control of Mineralization,Geochemical Results,Geological Features,Mineral
Richards Bay,South Africa,Quaternary (Recent),Placer,ASTER/Landsat mapped coastal deposits,Ground magnetics mapped sand bodies,Placer,"Main: Ti, Zr; By-product: Th, REE","Ilmenite, rutile, leucoxene, zircon","Zr, Th, REE, Hf","Sheet-like, coastal deposits",30 Mt TiO₂ in ilmenite and rutile,Beach and dune sand,East African margin,Quaternary sediments,Coastal processes; heavy mineral concentration,"TiO₂: 85-96% in rutile, 45-65% in ilmenite; ZrO₂: 65-67% in zircon",World's largest titanium mineral sands operation,Titanium
Lac Tio,Canada,Proterozoic (1.1 Ga),Magmatic,ASTER/Landsat mapped mafic intrusion,Magnetic surveys detected ilmenite-rich zones,Anorthosite complex,Main: Ti; By-product: Fe,"Hemo-ilmenite, ilmenite, magnetite","Fe, V, Cr","Massive, irregular","138 Mt at 32% TiO₂, 36% Fe",Anorthosite,Grenville Province,Lac Allard Anorthosite,Magmatic processes; ilmenite segregation,TiO₂: 32-35%; Fe: 35-37%; V₂O₅: 0.15-0.25%,World's largest hard rock ilmenite mine,Titanium
Panzhihua,China,Neoproterozoic (260 Ma),Magmatic,ASTER/Landsat mapped mafic intrusion,Magnetic surveys detected magnetite-rich zones,Layered intrusion,"Main: Ti, V, Fe","Titanomagnetite, ilmenite","V, Fe, Cr","Stratiform, lens-shaped",10 Mt TiO₂ in titanomagnetite,"Gabbro, pyroxenite",Emeishan LIP,Panzhihua layered intrusion,Magmatic differentiation; crystal settling,TiO₂: 10-13%; V₂O₅: 0.6-0.8%; Fe: 30-35%,Part of Emeishan LIP; magnetite-rich layers,Titanium
Tellnes,Norway,Proterozoic (930 Ma),Magmatic,ASTER/Landsat mapped mafic intrusion,Magnetic surveys detected ilmenite-rich zones,Anorthosite complex,Main: Ti; By-product: Fe,"Ilmenite, magnetite","Fe, V, Cr","Massive, dyke-like",64 Mt TiO₂ in ilmenite,"Anorthosite, norite",Rogaland Anorthosite Province,Tellnes ilmenite deposit,Magmatic processes; ilmenite segregation,TiO₂: 18%; Fe: 36%; V₂O₅: 0.25%,Europe's largest titanium deposit; open-pit mine,Titanium
Murray Basin,Australia,Pliocene-Pleistocene (2-5 Ma),Placer,ASTER/Landsat mapped paleo-shorelines,Ground magnetics mapped sand bodies,Placer,"Main: Ti, Zr; By-product: REE","Rutile, ilmenite, leucoxene, zircon","Zr, Th, REE, Hf","Sheet-like, strand-line deposits",25 Mt heavy minerals at 15-25% TiO₂ minerals,Shoreline sand deposits,Murray Basin,Pliocene-Pleistocene sediments,Coastal processes; heavy mineral concentration,"TiO₂: 85-96% in rutile, 55-65% in ilmenite; ZrO₂: 65-67% in zircon",Major heavy mineral province; strand-line deposits,Titanium
Namakwa Sands,South Africa,Quaternary (Recent),Placer,ASTER/Landsat mapped coastal deposits,Ground magnetics mapped sand bodies,Placer,"Main: Ti, Zr; By-product: Th, REE","Ilmenite, rutile, zircon","Zr, Th, REE, Hf","Sheet-like, coastal deposits","9.5 Mt ilmenite, 1.9 Mt rutile",Beach and dune sand,West African margin,Quaternary sediments,Coastal processes; heavy mineral concentration,"TiO₂: 85-96% in rutile, 45-65% in ilmenite; ZrO₂: 65-67% in zircon",Major mineral sands operation; active mining,Titanium
Piampaludo,Italy,Jurassic (160-180 Ma),Magmatic,ASTER/Landsat mapped ultramafic bodies,Magnetic surveys detected serpentinite bodies,Podiform/layered,"Main: Ti; By-product: Fe, V","Ilmenite, titanomagnetite","Fe, V, Cr, Ni","Irregular, lens-shaped",0.8 Mt TiO₂ in ilmenite,"Eclogite, metagabbro",Ligurian Alps,Jurassic ophiolite,Magmatic processes; metamorphism,TiO₂: 20-25%; Fe: 25-30%; V₂O₅: 0.2-0.3%,Metamorphosed titanium deposit in ophiolite complex,Titanium
Trail Ridge,USA,Pliocene-Pleistocene (2-5 Ma),Placer,ASTER/Landsat mapped paleo-shorelines,Ground magnetics mapped sand bodies,Placer,"Main: Ti, Zr; By-product: REE","Ilmenite, rutile, leucoxene, zircon","Zr, Th, REE, Hf","Sheet-like, strand-line deposits",25 Mt heavy minerals at 20-30% TiO₂ minerals,Shoreline sand deposits,Atlantic Coastal Plain,Pliocene-Pleistocene sediments,Coastal processes; heavy mineral concentration,"TiO₂: 85-96% in rutile, 50-60% in ilmenite; ZrO₂: 65-67% in zircon",Major heavy mineral province; ancient beach ridges,Titanium
Otanmäki,Finland,Paleoproterozoic (2.05 Ga),Magmatic,ASTER/Landsat mapped mafic intrusion,Magnetic surveys detected magnetite-rich zones,Layered intrusion,"Main: Fe, Ti, V","Ilmenite, magnetite, vanadiferous magnetite","Fe, V, Cr","Stratiform, lens-shaped",Historic producer; ~10 Mt ore,Gabbro,Fennoscandian Shield,Otanmäki Intrusion,Magmatic differentiation; crystal settling,TiO₂: 8-12%; V₂O₅: 0.5-0.7%; Fe: 35-40%,Historic Fe-Ti-V mine; closed in 1985,Titanium
Damiao,China,Proterozoic (1.7 Ga),Magmatic,ASTER/Landsat mapped mafic intrusion,Magnetic surveys detected magnetite-rich zones,Anorthosite complex,"Main: Ti, Fe, V","Titanomagnetite, ilmenite","Fe, V, Cr","Massive, irregular",60 Mt TiO₂ in titanomagnetite,"Anorthosite, gabbro",North China Craton,Damiao Anorthosite Complex,Magmatic processes; oxide segregation,TiO₂: 12-15%; V₂O₅: 0.5-0.7%; Fe: 30-35%,Major Ti-Fe-V deposit; active mining,Titanium
