Deposit Name,Location,Age of Deposit,Ore Genesis,Remote Sensing Data & Results,Geophysical Data,Type of Deposit,Main/By-Product/Co-Product,Mineralogy,Pathfinder Elements,Geometry of Ore Body,Ore Body Characterization,Host Rocks,Tectonic Settings,Stratigraphy,Control of Mineralization,Geochemical Results,Geological Features,Mineral
Xihuashan,China,Jurassic (160-170 Ma),Magmatic-hydrothermal,ASTER/Landsat mapped granite intrusion; multispectral detected alteration halo,Magnetic surveys mapped intrusion; gravity defined batholith,Vein/greisen,Main: W; Co-product: Mo,"Wolframite, scheelite, molybdenite","Mo, Bi, Sn, F","Multiple veins, 3 km length","76,000 t WO₃ at 0.9% WO₃","Granite, slate",South China Craton,Yanshanian granites,Structurally controlled vein systems,WO₃: 0.7-1.1%; Mo: 0.05-0.1%; Bi: 0.02-0.05%,Classic W-Mo vein system in Nanling belt,Tungsten
Panasqueira,Portugal,Carboniferous (290-300 Ma),Magmatic-hydrothermal,ASTER/Landsat mapped granite intrusion; multispectral detected alteration zone,IP surveys mapped vein systems; magnetic data defined intrusion,Vein/greisen,"Main: W; Co-product: Sn, Cu","Wolframite, cassiterite, chalcopyrite","Sn, Cu, As, Bi","Flat-lying vein system, 6 km²","101,000 t WO₃ at 0.2% WO₃","Slate, metagreywacke, hidden granite",Iberian Massif,Beira schists,Flat vein system above cupola,WO₃: 0.15-0.25%; Sn: 0.01-0.03%; Cu: 0.1-0.3%,Renowned flat-lying vein system; operating mine,Tungsten
Cantung,Canada,Cretaceous (90-95 Ma),Skarn,ASTER/Landsat mapped contact zone; multispectral detected alteration zone,Magnetic surveys detected magnetite-rich skarn,Skarn,Main: W; Co-product: Cu,"Scheelite, chalcopyrite, pyrrhotite","Cu, Bi, Mo, Au",Irregular skarn bodies at contact,6.8 Mt at 0.95% WO₃,"Limestone, granite",Cordilleran orogen,Cambrian carbonates,Contact metamorphism; metasomatism,WO₃: 0.8-1.2%; Cu: 0.1-0.2%; Bi: 0.01-0.03%,High-grade tungsten skarn; former producer,Tungsten
Hemerdon (Drakelands),UK,Permian (275 Ma),Magmatic-hydrothermal,ASTER/Landsat mapped granite intrusion; multispectral detected alteration halo,Gravity surveys defined batholith; magnetic data mapped structures,Greisen/stockwork,Main: W; Co-product: Sn,"Wolframite, cassiterite","Sn, F, Li, Nb",Greisen-bordered sheeted veins,35.7 Mt at 0.18% WO₃,"Granite, slate",Cornubian batholith,Devonian metasediments,Magmatic-hydrothermal; fracture filling,WO₃: 0.15-0.25%; Sn: 0.02-0.04%; F: 0.2-0.4%,"Low-grade, high-tonnage deposit; recently reopened",Tungsten
Sangdong,South Korea,Cretaceous (80-90 Ma),Skarn,ASTER/Landsat mapped contact zone,Magnetic surveys detected magnetite-rich skarn,Skarn,Main: W; Co-product: Mo,"Scheelite, molybdenite","Mo, Bi, Cu",Stratiform skarn horizons,76 Mt at 0.4% WO₃,"Limestone, granite",Korean Peninsula,Cambrian-Ordovician carbonates,Contact metamorphism; metasomatism,WO₃: 0.35-0.5%; Mo: 0.04-0.08%; Bi: 0.01-0.02%,Three main skarn horizons; operating mine,Tungsten
Mittersill,Austria,Paleozoic (360-380 Ma),Stratabound,ASTER/Landsat mapped schist sequence,EM surveys mapped conductive zones,Stratabound,Main: W,Scheelite,"Cu, Au, Bi","Stratiform, folded",16.6 Mt at 0.3% WO₃,"Schist, amphibolite",Eastern Alps,Habach Complex,Metamorphic remobilization,WO₃: 0.25-0.4%; Cu: 0.01-0.03%; Au: 0.1-0.3 g/t,Unusual stratabound scheelite deposit; operating mine,Tungsten
King Island,Australia,Devonian (380 Ma),Skarn,ASTER/Landsat mapped contact zone,Magnetic surveys detected magnetite-rich skarn,Skarn,Main: W,"Scheelite, garnet, pyroxene","F, Sn, Mo, Bi",Irregular skarn bodies at contact,9.1 Mt at 0.9% WO₃,"Limestone, granite",Eastern Australia,Grassy Group,Contact metamorphism; metasomatism,WO₃: 0.7-1.1%; F: 0.1-0.2%; Mo: 0.01-0.03%,Historic high-grade tungsten skarn,Tungsten
Climax,USA,Oligocene (30 Ma),Porphyry,ASTER/Landsat mapped alteration zones; multispectral detected mineral zones,Magnetic and IP surveys outlined intrusive complex,Porphyry,Main: Mo; Co-product: W,"Molybdenite, wolframite, scheelite","Mo, Sn, F, Re",Shell-like zones around intrusive,360 Mt at 0.04% WO₃,Granite porphyry,Colorado Mineral Belt,Tertiary intrusives,Magmatic-hydrothermal; stockwork veining,WO₃: 0.03-0.05%; Mo: 0.2-0.4%; F: 0.5-1.0%,Classic porphyry Mo deposit; W by-product,Tungsten
Shizhuyuan,China,Jurassic (160 Ma),Magmatic-hydrothermal,ASTER/Landsat mapped granite intrusion; multispectral detected alteration halo,Gravity and magnetic surveys outlined intrusion,Skarn/greisen,"Main: W, Sn, Mo, Bi","Wolframite, scheelite, cassiterite, molybdenite","Sn, Mo, Bi, Be, F","Complex, multi-zone",175 Mt at 0.25% WO₃,"Limestone, granite",South China Craton,Yanshanian granites,Contact metasomatism; hydrothermal veins,WO₃: 0.2-0.3%; Sn: 0.1-0.2%; Mo: 0.1-0.15%; Bi: 0.1-0.15%,World-class polymetallic deposit; complex zoning,Tungsten
Los Santos,Spain,Ordovician-Silurian (440 Ma),Skarn,ASTER/Landsat mapped contact zone,Magnetic surveys detected skarn bodies,Skarn,Main: W,"Scheelite, garnet, pyroxene","Cu, Zn, F",Irregular skarn bodies at contact,6.7 Mt at 0.33% WO₃,"Limestone, granite",Central Iberian Zone,Cambrian-Ordovician carbonates,Contact metamorphism; metasomatism,WO₃: 0.3-0.4%; Cu: 0.01-0.03%; Zn: 0.05-0.1%,Scheelite skarn; recent producer,Tungsten
