Deposit Name,Location,Age of Deposit,Ore Genesis,Remote Sensing Data & Results,Geophysical Data,Type of Deposit,Main/By-Product/Co-Product,Mineralogy,Pathfinder Elements,Geometry of Ore Body,Ore Body Characterization,Host Rocks,Tectonic Settings,Stratigraphy,Control of Mineralization,Geochemical Results,Geological Features,Mineral
Bushveld,South Africa,Paleoproterozoic (2.05 Ga),Magmatic,ASTER/Landsat mapped layered intrusion; multispectral detected mafic zones,Magnetic and gravity surveys outlined intrusion geometry,Layered intrusion,"Main: V, Ti; Co-product: Fe","Magnetite, ilmenite, vanadiferous titanomagnetite","Ti, Fe, Cr, Pt, Pd","Stratiform, laterally extensive",186 Mt V₂O₅ at 1.5-2.0% V₂O₅,"Gabbro, anorthosite, pyroxenite",Craton interior,Rustenburg Layered Suite,Magmatic differentiation; crystal settling,V₂O₅: 1.5-2.0%; TiO₂: 12-16%; Fe: 50-55%,World's largest V resource; magnetite layers in Upper and Main Zones,Vanadium
Maracás,Brazil,Paleoproterozoic (2.1 Ga),Magmatic,ASTER/Landsat mapped mafic intrusion,Magnetic surveys detected magnetite-rich zones,Layered intrusion,"Main: V; Co-product: Fe, Ti","Magnetite, ilmenite","Ti, Fe, Cr","Stratiform, lens-shaped",24.6 Mt at 1.11% V₂O₅,"Gabbro, pyroxenite",São Francisco Craton,Rio Jacaré Intrusion,Magmatic differentiation; crystal settling,V₂O₅: 0.9-1.3%; TiO₂: 8-12%; Fe: 45-50%,Mafic-ultramafic intrusion; magnetite layers,Vanadium
Mount Peake,Australia,Paleoproterozoic (1.8 Ga),Magmatic,ASTER/Landsat mapped mafic intrusion,Magnetic surveys detected magnetite-rich zones,Layered intrusion,"Main: V, Ti; Co-product: Fe","Magnetite, ilmenite","Ti, Fe, Cr","Stratiform, sheet-like",160 Mt at 0.28% V₂O₅,Gabbro,Arunta Craton,Intrusive into Arunta Complex,Magmatic differentiation; crystal settling,V₂O₅: 0.25-0.35%; TiO₂: 5-7%; Fe: 23-28%,Mafic intrusion with disseminated magnetite,Vanadium
Windimurra,Australia,Archean (2.8 Ga),Magmatic,ASTER/Landsat mapped mafic intrusion,Magnetic surveys detected magnetite-rich zones,Layered intrusion,"Main: V; Co-product: Fe, Ti","Magnetite, ilmenite","Ti, Fe, Cr, Pt","Stratiform, laterally extensive",235 Mt at 0.49% V₂O₅,"Gabbro, pyroxenite",Yilgarn Craton,Windimurra Complex,Magmatic differentiation; crystal settling,V₂O₅: 0.4-0.6%; TiO₂: 6-9%; Fe: 30-35%,Layered mafic intrusion; magnetite layers,Vanadium
Mustavaara,Finland,Paleoproterozoic (2.4-2.5 Ga),Magmatic,ASTER/Landsat mapped mafic intrusion,Magnetic surveys detected magnetite-rich zones,Layered intrusion,"Main: V; Co-product: Fe, Ti","Magnetite, ilmenite","Ti, Fe, Cr","Stratiform, sheet-like",64.9 Mt at 0.8% V₂O₅,Gabbro,Fennoscandian Shield,Porttivaara Complex,Magmatic differentiation; crystal settling,V₂O₅: 0.7-0.9%; TiO₂: 4-6%; Fe: 15-20%,Mafic intrusion; historic V-mining district,Vanadium
Panzhihua,China,Neoproterozoic (260 Ma),Magmatic,ASTER/Landsat mapped mafic intrusion,Magnetic surveys detected magnetite-rich zones,Layered intrusion,"Main: V, Ti; Co-product: Fe","Magnetite, ilmenite","Ti, Fe, Cr","Stratiform, lens-shaped",108 Mt V₂O₅,"Gabbro, pyroxenite",Emeishan LIP,Panzhihua layered intrusion,Magmatic differentiation; crystal settling,V₂O₅: 0.6-0.8%; TiO₂: 10-13%; Fe: 30-35%,Part of Emeishan LIP; magnetite-rich layers,Vanadium
Lac Doré,Canada,Archean (2.7 Ga),Magmatic,ASTER/Landsat mapped mafic intrusion,Magnetic surveys detected magnetite-rich zones,Layered intrusion,"Main: V; Co-product: Fe, Ti","Magnetite, ilmenite","Ti, Fe, Cr","Stratiform, laterally extensive",99.1 Mt at 0.42% V₂O₅,"Gabbro, anorthosite",Superior Province,Chibougamau Pluton,Magmatic differentiation; crystal settling,V₂O₅: 0.35-0.5%; TiO₂: 5-8%; Fe: 25-30%,Archean layered intrusion; magnetite layers,Vanadium
Barrambie,Australia,Archean (2.8 Ga),Magmatic,ASTER/Landsat mapped mafic intrusion,Magnetic surveys detected magnetite-rich zones,Layered intrusion,"Main: Ti, V; Co-product: Fe","Ilmenite, magnetite","Ti, Fe, Cr","Stratiform, laterally extensive",280 Mt at 0.44% V₂O₅,Gabbro,Yilgarn Craton,Barrambie Igneous Complex,Magmatic differentiation; crystal settling,V₂O₅: 0.4-0.5%; TiO₂: 16-20%; Fe: 35-40%,Ti-V deposit; high-grade ilmenite resource,Vanadium
Gabanintha,Australia,Archean (2.8 Ga),Magmatic,ASTER/Landsat mapped mafic intrusion,Magnetic surveys detected magnetite-rich zones,Layered intrusion,"Main: V; Co-product: Ti, Fe","Magnetite, ilmenite","Ti, Fe, Cr","Stratiform, laterally extensive",131 Mt at 0.9% V₂O₅,Gabbro,Yilgarn Craton,Gabanintha Formation,Magmatic differentiation; crystal settling,V₂O₅: 0.8-1.0%; TiO₂: 8-12%; Fe: 40-45%,Layered mafic intrusion; high-grade magnetite bands,Vanadium
Koillismaa,Finland,Paleoproterozoic (2.4-2.5 Ga),Magmatic,ASTER/Landsat mapped mafic intrusion,Magnetic surveys detected magnetite-rich zones,Layered intrusion,"Main: V, PGE; Co-product: Ni, Cu","Magnetite, pentlandite, chalcopyrite","Ni, Cu, Cr, Pt, Pd","Stratiform, laterally extensive",Resource at 0.3% V₂O₅,"Gabbro, pyroxenite",Fennoscandian Shield,Koillismaa Complex,Magmatic differentiation; crystal settling,V₂O₅: 0.25-0.35%; Pt+Pd: 1-2 g/t; Cu: 0.1-0.2%; Ni: 0.1-0.2%,PGE-rich zones associated with V-bearing magnetite,Vanadium
Kemi,Finland,Paleoproterozoic (2.4-2.5 Ga),Magmatic,ASTER/Landsat mapped mafic intrusion,Magnetic surveys detected magnetite-rich zones,Layered intrusion,"Main: Cr; Co-product: V, Fe","Chromite, magnetite","Cr, Fe, V, Ni","Stratiform, lens-shaped",160 Mt at 0.26% V₂O₅,"Peridotite, pyroxenite",Fennoscandian Shield,Kemi Intrusion,Magmatic differentiation; crystal settling,V₂O₅: 0.2-0.3%; Cr₂O₃: 26-30%; Fe: 15-20%,World's largest chromite mine; V as by-product,Vanadium
Rhovan,South Africa,Paleoproterozoic (2.05 Ga),Magmatic,ASTER/Landsat mapped layered intrusion,Magnetic surveys detected magnetite-rich zones,Layered intrusion,"Main: V; Co-product: Fe, Ti","Magnetite, ilmenite","Ti, Fe, Cr, Pt","Stratiform, laterally extensive",Part of Bushveld Complex,"Gabbro, anorthosite",Craton interior,Rustenburg Layered Suite,Magmatic differentiation; crystal settling,V₂O₅: 1.5-2.0%; TiO₂: 12-16%; Fe: 50-55%,Operating V mine in Bushveld Complex,Vanadium
Mapochs,South Africa,Paleoproterozoic (2.05 Ga),Magmatic,ASTER/Landsat mapped layered intrusion,Magnetic surveys detected magnetite-rich zones,Layered intrusion,"Main: V; Co-product: Fe, Ti","Magnetite, ilmenite","Ti, Fe, Cr, Pt","Stratiform, laterally extensive",Part of Bushveld Complex,"Gabbro, anorthosite",Craton interior,Rustenburg Layered Suite,Magmatic differentiation; crystal settling,V₂O₅: 1.5-2.0%; TiO₂: 12-16%; Fe: 50-55%,Operating V mine in Bushveld Complex,Vanadium
Vametco,South Africa,Paleoproterozoic (2.05 Ga),Magmatic,ASTER/Landsat mapped layered intrusion,Magnetic surveys detected magnetite-rich zones,Layered intrusion,"Main: V; Co-product: Fe, Ti","Magnetite, ilmenite","Ti, Fe, Cr, Pt","Stratiform, laterally extensive",Part of Bushveld Complex,"Gabbro, anorthosite",Craton interior,Rustenburg Layered Suite,Magmatic differentiation; crystal settling,V₂O₅: 1.5-2.0%; TiO₂: 12-16%; Fe: 50-55%,Operating V mine in Bushveld Complex,Vanadium
Xichang,China,Proterozoic (800 Ma),Magmatic,ASTER/Landsat mapped mafic intrusion,Magnetic surveys detected magnetite-rich zones,Layered intrusion,"Main: V, Ti; Co-product: Fe","Magnetite, ilmenite","Ti, Fe, Cr","Stratiform, lens-shaped",14 Mt V₂O₅,"Gabbro, pyroxenite",Yangtze Craton,Xichang Complex,Magmatic differentiation; crystal settling,V₂O₅: 0.7-0.9%; TiO₂: 10-14%; Fe: 35-40%,Large V-Ti magnetite deposit,Vanadium
Chibougamau,Canada,Archean (2.7 Ga),Magmatic,ASTER/Landsat mapped mafic intrusion,Magnetic surveys detected magnetite-rich zones,Layered intrusion,"Main: V; Co-product: Fe, Ti","Magnetite, ilmenite","Ti, Fe, Cr","Stratiform, lens-shaped",Same as Lac Doré,"Gabbro, anorthosite",Superior Province,Chibougamau Pluton,Magmatic differentiation; crystal settling,V₂O₅: 0.35-0.5%; TiO₂: 5-8%; Fe: 25-30%,Alternative name for Lac Doré deposit,Vanadium
Bell Creek,Canada,Archean (2.7 Ga),Magmatic,ASTER/Landsat mapped mafic intrusion,Magnetic surveys detected magnetite-rich zones,Layered intrusion,"Main: V; Co-product: Fe, Ti","Magnetite, ilmenite","Ti, Fe, Cr","Stratiform, lens-shaped",17 Mt at 0.33% V₂O₅,Gabbro,Superior Province,East Bull Lake Complex,Magmatic differentiation; crystal settling,V₂O₅: 0.3-0.4%; TiO₂: 6-8%; Fe: 25-30%,Archean layered intrusion; magnetite layers,Vanadium
Ivrea-Verbano,Italy,Permian (270-290 Ma),Magmatic,ASTER/Landsat mapped mafic intrusion,Magnetic surveys detected magnetite-rich zones,Layered intrusion,"Main: Fe, Ti; Co-product: V","Magnetite, ilmenite","Ti, Fe, Cr, Ni","Stratiform, lens-shaped",Resource at 0.3% V₂O₅,"Gabbro, peridotite",Southern Alps,Ivrea-Verbano Zone,Magmatic differentiation; crystal settling,V₂O₅: 0.25-0.35%; TiO₂: 10-15%; Fe: 30-35%,Mafic-ultramafic complex; historic Fe-Ti mining,Vanadium
Lac Tio,Canada,Proterozoic (1.1 Ga),Magmatic,ASTER/Landsat mapped mafic intrusion,Magnetic surveys detected ilmenite-rich zones,Anorthosite complex,Main: Ti; Co-product: V,"Ilmenite, hemo-ilmenite, magnetite","Ti, Fe, V, Cr","Massive, irregular",138 Mt at 0.2% V₂O₅,Anorthosite,Grenville Province,Lac Allard Anorthosite,Magmatic processes; ilmenite segregation,V₂O₅: 0.15-0.25%; TiO₂: 32-35%; Fe: 35-37%,World's largest ilmenite mine; V as by-product,Vanadium
