Deposit Name,Location,Age of Deposit,Ore Genesis,Remote Sensing Data & Results,Geophysical Data,Type of Deposit,Main/By-Product/Co-Product,Mineralogy,Pathfinder Elements,Geometry of Ore Body,Ore Body Characterization,Host Rocks,Tectonic Settings,Stratigraphy,Control of Mineralization,Geochemical Results,Geological Features,Mineral
Richards Bay,South Africa,Quaternary (Recent),Placer,ASTER/Landsat mapped coastal deposits,Ground magnetics mapped sand bodies,Placer,"Main: Ti, Zr; By-product: Th, REE","Zircon, ilmenite, rutile, monazite","Ti, Th, REE, Hf","Sheet-like, coastal deposits",6 Mt ZrO₂ in zircon,Beach and dune sand,East African margin,Quaternary sediments,Coastal processes; heavy mineral concentration,ZrO₂: 65-67% in zircon; HfO₂: 1-2% in zircon; TiO₂: 45-65% in ilmenite,World's largest mineral sands operation; significant zircon producer,Zirconium
Murray Basin,Australia,Pliocene-Pleistocene (2-5 Ma),Placer,ASTER/Landsat mapped paleo-shorelines,Ground magnetics mapped sand bodies,Placer,"Main: Ti, Zr; By-product: REE","Zircon, rutile, ilmenite, monazite","Ti, Th, REE, Hf","Sheet-like, strand-line deposits",25 Mt heavy minerals at 15-20% zircon,Shoreline sand deposits,Murray Basin,Pliocene-Pleistocene sediments,Coastal processes; heavy mineral concentration,ZrO₂: 65-67% in zircon; HfO₂: 1-2% in zircon; TiO₂: 85-96% in rutile,Major heavy mineral province; strand-line deposits,Zirconium
Jacinth-Ambrosia,Australia,Eocene-Miocene (5-40 Ma),Placer,ASTER/Landsat mapped paleo-shorelines,Ground magnetics mapped sand bodies,Placer,"Main: Zr; By-product: Ti, REE","Zircon, ilmenite, rutile","Ti, Th, REE, Hf","Sheet-like, shoreline deposits",9.2 Mt zircon,Shoreline sand deposits,Eucla Basin,Tertiary sediments,Coastal processes; heavy mineral concentration,ZrO₂: 65-67% in zircon; HfO₂: 1-2% in zircon; TiO₂: 55-65% in ilmenite,High-grade zircon deposit; active mining,Zirconium
Dubbo,Australia,Triassic (219 Ma),Alkaline intrusion,ASTER/Landsat mapped intrusive body,"Radiometric surveys detected Th, U anomalies",Alkaline intrusion,"Main: Zr; By-product: Hf, REE, Nb","Zircon, eudialyte, fergusonite","Hf, REE, Nb, Y","Vertical, pipe-like",73.2 Mt at 1.96% ZrO₂,Trachyte,East Australian Rift,Toongi trachyte,Magmatic processes,ZrO₂: 1.9%; HfO₂: 0.04%; Nb₂O₅: 0.5%; REO: 0.9%,Unusual alkaline trachyte; polymetallic deposit,Zirconium
Namakwa Sands,South Africa,Quaternary (Recent),Placer,ASTER/Landsat mapped coastal deposits,Ground magnetics mapped sand bodies,Placer,"Main: Ti, Zr; By-product: Th, REE","Zircon, ilmenite, rutile","Ti, Th, REE, Hf","Sheet-like, coastal deposits",1.6 Mt zircon,Beach and dune sand,West African margin,Quaternary sediments,Coastal processes; heavy mineral concentration,ZrO₂: 65-67% in zircon; HfO₂: 1-2% in zircon; TiO₂: 45-65% in ilmenite,Major mineral sands operation; active mining,Zirconium
Eneabba,Australia,Quaternary (Recent),Placer,ASTER/Landsat mapped ancient shorelines,Ground magnetics mapped sand bodies,Placer,"Main: Ti, Zr; By-product: REE","Zircon, ilmenite, rutile, leucoxene, monazite","Ti, Th, REE, Hf","Sheet-like, strand-line deposits",Historic producer; ~4 Mt zircon,Shoreline sand deposits,Perth Basin,Quaternary sediments,Coastal processes; heavy mineral concentration,ZrO₂: 65-67% in zircon; HfO₂: 1-2% in zircon; TiO₂: 55-65% in ilmenite,Historic heavy mineral province; high-grade zircon,Zirconium
Alkane's Peak Hill,Australia,Devonian (380-400 Ma),Volcanic-related,ASTER/Landsat mapped volcanic complex,Magnetic and radiometric surveys mapped intrusions,Alkaline volcanic,"Main: Au; By-product: Zr, REE","Zircon, monazite, gold","Au, REE, Th, Hf","Irregular, pipe-like",By-product resource,Alkaline volcanic rocks,Lachlan Fold Belt,Devonian volcanics,Alkaline magmatism; hydrothermal activity,ZrO₂: 0.3-0.5%; REO: 0.2-0.3%; Au: 1-3 g/t,Alkaline volcanic-related gold deposit; Zr-REE enrichment,Zirconium
Iluka's Virginia,USA,Pliocene-Pleistocene (2-5 Ma),Placer,ASTER/Landsat mapped paleo-shorelines,Ground magnetics mapped sand bodies,Placer,"Main: Ti, Zr; By-product: REE","Zircon, ilmenite, rutile, leucoxene","Ti, Th, REE, Hf","Sheet-like, strand-line deposits",1.7 Mt zircon,Shoreline sand deposits,Atlantic Coastal Plain,Pliocene-Pleistocene sediments,Coastal processes; heavy mineral concentration,ZrO₂: 65-67% in zircon; HfO₂: 1-2% in zircon; TiO₂: 50-60% in ilmenite,Major U.S. heavy mineral province; active mining,Zirconium
Matilda/Keysbrook,Australia,Quaternary (Recent),Placer,ASTER/Landsat mapped coastal deposits,Ground magnetics mapped sand bodies,Placer,"Main: Ti, Zr; By-product: REE","Zircon, leucoxene, ilmenite","Ti, Th, REE, Hf","Sheet-like, strand-line deposits",0.4 Mt zircon,Shoreline sand deposits,Perth Basin,Quaternary sediments,Coastal processes; heavy mineral concentration,ZrO₂: 65-67% in zircon; HfO₂: 1-2% in zircon; TiO₂: 55-65% in leucoxene,Active mining operation; zircon-leucoxene,Zirconium
Athabasca Oil Sands,Canada,Cretaceous (100-120 Ma),Sedimentary,ASTER/Landsat mapped oil sand outcrops,Seismic surveys mapped oil sand deposits,Oil sands by-product,By-product: Zr; Main: Bitumen,"Zircon, leucoxene, rutile, ilmenite","Ti, Th, REE, Hf","Sheet-like, basin-wide",By-product resource,Oil sand,Western Canada Sedimentary Basin,McMurray Formation,Fluvial-deltaic processes; heavy mineral concentration,ZrO₂: 65-67% in zircon; HfO₂: 1-2% in zircon; TiO₂: 80-95% in leucoxene,Heavy minerals recovered from oil sands tailings,Zirconium
Kwale,Kenya,Pliocene-Pleistocene (2-5 Ma),Placer,ASTER/Landsat mapped paleo-shorelines,Ground magnetics mapped sand bodies,Placer,"Main: Ti, Zr; By-product: REE","Zircon, ilmenite, rutile","Ti, Th, REE, Hf","Sheet-like, dune deposits",0.3 Mt zircon,Dune sand deposits,East African margin,Pliocene-Pleistocene sediments,Coastal processes; heavy mineral concentration,ZrO₂: 65-67% in zircon; HfO₂: 1-2% in zircon; TiO₂: 50-60% in ilmenite,Operating mineral sands mine; significant zircon,Zirconium
